,text,username,tweet_id,timestamp,hashtags,screen_name,retweets,likes,uni_handle,compound,Sentiment,score,retweets_n,likes_n,engagement_score,clean_tweets,tweet_tokens,pos,nouns,irrelevance,engagement,sentiment_score
10,"at national institute of technology, karnataka https://www.facebook.com/1apurba1/posts/1138168229703373 …",Apurba Mohaptra.,1153715911276335104,2019-07-23 17:18:02,[],ApurbaMohaptra,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,at National Institute of Technology Karnataka …,"['national', 'institute', 'technology', 'karnataka']","[('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
11,"#workshop department of applied mechanics and hydraulics of national institute of technology - karnataka (nit-k), suratkal will host a 3-day workshop on coastal reservoirs as a sustainable strategy for water security on its srinivasnagar premises from july 22. @surathkal_nitk",Jaideep Shenoy 🇮🇳,1152790966178201600,2019-07-21 04:02:38,['Workshop'],jaideepSTOI,1.0,1.0,,0.34,Positive,3.68,0.0014771048744460858,0.00015108022359873092,0.09466950141071438,#Workshop Department of applied mechanics and hydraulics of National Institute of Technology Karnataka (NIT-K) Suratkal will host a 3-day workshop on coastal reservoirs as a sustainable strategy for water security on its Srinivasnagar premises from July 22 @surathkal_nitk,"['workshop', 'department', 'applied', 'mechanics', 'hydraulics', 'national', 'institute', 'technology', 'karnataka', 'nit', 'k', 'suratkal', 'host', '3', 'day', 'workshop', 'coastal', 'reservoirs', 'sustainable', 'strategy', 'water', 'security', 'srinivasnagar', 'premises', 'july', '22', 'surathkal_nitk']","[('workshop', 'NN'), ('department', 'NN'), ('applied', 'VBD'), ('mechanics', 'NNS'), ('hydraulics', 'NNS'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NNP'), ('nit', 'NN'), ('k', 'NN'), ('suratkal', 'VBD'), ('host', 'JJ'), ('3', 'CD'), ('day', 'NN'), ('workshop', 'VBD'), ('coastal', 'JJ'), ('reservoirs', 'NNS'), ('sustainable', 'JJ'), ('strategy', 'NN'), ('water', 'NN'), ('security', 'NN'), ('srinivasnagar', 'NN'), ('premises', 'VBZ'), ('july', 'RB'), ('22', 'CD'), ('surathkal_nitk', 'NN')]","['workshop', 'department', 'mechanics', 'hydraulics', 'institute', 'technology', 'karnataka', 'nit', 'k', 'day', 'reservoirs', 'strategy', 'water', 'security', 'srinivasnagar', 'surathkal_nitk']",0,1,4.68
12,"ignore what people say.. #photography #photo #snapseed #sonya6400 #sonya6400club #sony # @ national institute of technology, karnataka https://www.instagram.com/p/b4pmjdqdsnt/?igshid=7d8yavn3s7p2 …",Jitender Chaurasia,1193191531596771328,2019-11-09 15:40:04,"['photography', 'photo', 'snapseed', 'sonya6400', 'sonya6400club', 'sony']",jittu_chaurasia,0.0,0.0,,-0.3612,Negative,2.2776,0.0,0.0,0.0,Ignore what people say. #photography #photo #snapseed #sonya6400 #sonya6400club #sony National Institute of Technology Karnataka …,"['ignore', 'people', 'say', 'photography', 'photo', 'snapseed', 'sonya6400', 'sonya6400club', 'sony', 'national', 'institute', 'technology', 'karnataka']","[('ignore', 'NN'), ('people', 'NNS'), ('say', 'VBP'), ('photography', 'NN'), ('photo', 'NN'), ('snapseed', 'VBD'), ('sonya6400', 'JJ'), ('sonya6400club', 'NN'), ('sony', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['ignore', 'people', 'photography', 'photo', 'sonya6400club', 'institute', 'technology', 'karnataka']",0,0,2.2776
13,"vacancy at national institute of technology karnataka, surathkal (nitk, surathkal)

https://www.nitk.ac.in/document/attachments/1217/advertisement.pdf …

twitter- https://twitter.com/cmacajob 
instagram- https://instagram.com/ca_jobs_/ 
facebook- https://business.facebook.com/cacscmajobs/ 
#icai #icmai",ca_cs_cma_jobs,1192723759565692928,2019-11-08 08:41:18,"['icai', 'icmai']",cmacajob,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Vacancy at National Institute of Technology Karnataka Surathkal (NITK Surathkal) … Twitter Instagram Facebook #icai #icmai,"['vacancy', 'national', 'institute', 'technology', 'karnataka', 'surathkal', 'nitk', 'surathkal', 'twitter', 'instagram', 'facebook', 'icai', 'icmai']","[('vacancy', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NNP'), ('surathkal', 'NN'), ('nitk', 'NN'), ('surathkal', 'NN'), ('twitter', 'NN'), ('instagram', 'NN'), ('facebook', 'NN'), ('icai', 'NN'), ('icmai', 'NN')]","['vacancy', 'institute', 'technology', 'karnataka', 'surathkal', 'nitk', 'surathkal', 'twitter', 'instagram', 'facebook', 'icai', 'icmai']",0,0,3.0
14,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellowship posts 
http://bit.ly/34fzys4 pic.twitter.com/2lv8zhegcy",Engineer Feed,1192702707628331008,2019-11-08 07:17:39,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellowship posts pic.twitter.com/2Lv8ZhEGcY,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellowship', 'posts', 'pic', 'twitter', 'com', '2lv8zhegcy']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellowship', 'NN'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('2lv8zhegcy', 'CD')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'fellowship', 'twitter', 'com']",0,0,3.0
15,"ignore what people say.. #photography #photo #snapseed #sonya6400 #sonya6400club #sony # @ national institute of technology, karnataka https://www.instagram.com/p/b4pmjdqdsnt/?igshid=7d8yavn3s7p2 …",Jitender Chaurasia,1193191531596771328,2019-11-09 15:40:04,"['photography', 'photo', 'snapseed', 'sonya6400', 'sonya6400club', 'sony']",jittu_chaurasia,0.0,0.0,,-0.3612,Negative,2.2776,0.0,0.0,0.0,Ignore what people say. #photography #photo #snapseed #sonya6400 #sonya6400club #sony National Institute of Technology Karnataka …,"['ignore', 'people', 'say', 'photography', 'photo', 'snapseed', 'sonya6400', 'sonya6400club', 'sony', 'national', 'institute', 'technology', 'karnataka']","[('ignore', 'NN'), ('people', 'NNS'), ('say', 'VBP'), ('photography', 'NN'), ('photo', 'NN'), ('snapseed', 'VBD'), ('sonya6400', 'JJ'), ('sonya6400club', 'NN'), ('sony', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['ignore', 'people', 'photography', 'photo', 'sonya6400club', 'institute', 'technology', 'karnataka']",0,0,2.2776
16,"vacancy at national institute of technology karnataka, surathkal (nitk, surathkal)

https://www.nitk.ac.in/document/attachments/1217/advertisement.pdf …

twitter- https://twitter.com/cmacajob 
instagram- https://instagram.com/ca_jobs_/ 
facebook- https://business.facebook.com/cacscmajobs/ 
#icai #icmai",ca_cs_cma_jobs,1192723759565692928,2019-11-08 08:41:18,"['icai', 'icmai']",cmacajob,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Vacancy at National Institute of Technology Karnataka Surathkal (NITK Surathkal) … Twitter Instagram Facebook #icai #icmai,"['vacancy', 'national', 'institute', 'technology', 'karnataka', 'surathkal', 'nitk', 'surathkal', 'twitter', 'instagram', 'facebook', 'icai', 'icmai']","[('vacancy', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NNP'), ('surathkal', 'NN'), ('nitk', 'NN'), ('surathkal', 'NN'), ('twitter', 'NN'), ('instagram', 'NN'), ('facebook', 'NN'), ('icai', 'NN'), ('icmai', 'NN')]","['vacancy', 'institute', 'technology', 'karnataka', 'surathkal', 'nitk', 'surathkal', 'twitter', 'instagram', 'facebook', 'icai', 'icmai']",0,0,3.0
17,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellowship posts 
http://bit.ly/34fzys4 pic.twitter.com/2lv8zhegcy",Engineer Feed,1192702707628331008,2019-11-08 07:17:39,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellowship posts pic.twitter.com/2Lv8ZhEGcY,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellowship', 'posts', 'pic', 'twitter', 'com', '2lv8zhegcy']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellowship', 'NN'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('2lv8zhegcy', 'CD')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'fellowship', 'twitter', 'com']",0,0,3.0
18,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellow posts 
https://engineerfeed.com/2019/09/60715/ pic.twitter.com/yb1aedtqum",Engineer Feed,1176071177191575552,2019-09-23 09:49:53,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts pic.twitter.com/Yb1aEDTqUm,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellow', 'posts', 'pic', 'twitter', 'com', 'yb1aedtqum']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellow', 'JJ'), ('posts', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('yb1aedtqum', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'posts', 'twitter', 'com', 'yb1aedtqum']",0,0,3.0
19,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research assistant posts 
https://engineerfeed.com/2019/09/58029/ pic.twitter.com/sytltrtsoq",Engineer Feed,1173594348388093952,2019-09-16 13:47:51,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Assistant posts pic.twitter.com/SytLTRtsOQ,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'assistant', 'posts', 'pic', 'twitter', 'com', 'sytltrtsoq']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('assistant', 'NN'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('sytltrtsoq', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'assistant', 'twitter', 'com', 'sytltrtsoq']",0,0,3.0
20,"just posted a photo @ national institute of technology, karnataka https://www.instagram.com/p/b2df6w-hrct/?igshid=b4ktu2prqmxz …",Suban01assam,1173473699711934464,2019-09-16 05:48:26,[],suban01assam,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Just posted a photo National Institute of Technology Karnataka …,"['posted', 'photo', 'national', 'institute', 'technology', 'karnataka']","[('posted', 'VBN'), ('photo', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
21,"just posted a photo @ national institute of technology, karnataka https://www.instagram.com/p/b2dfwhkhsbo/?igshid=1j3dbjz06cp8k …",Suban01assam,1173473347247792128,2019-09-16 05:47:02,[],suban01assam,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Just posted a photo National Institute of Technology Karnataka …,"['posted', 'photo', 'national', 'institute', 'technology', 'karnataka']","[('posted', 'VBN'), ('photo', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
22,"govt job: national institute of technology karnataka recruitment 2019 apply for research intern posts 
https://engineerfeed.com/2019/09/57688/ pic.twitter.com/felgguw3nn",Engineer Feed,1173259675728412672,2019-09-15 15:37:59,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Research Intern posts pic.twitter.com/FElggUw3Nn,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'research', 'intern', 'posts', 'pic', 'twitter', 'com', 'felgguw3nn']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('research', 'NN'), ('intern', 'JJ'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('felgguw3nn', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'twitter', 'com', 'felgguw3nn']",0,0,3.0
23,"the national bird at national institute of technology  @ national institute of technology, karnataka https://www.instagram.com/p/b2btmuobqhq/?igshid=s1w380f5d10z …",Apurba Mohaptra.,1173165139564142592,2019-09-15 09:22:20,[],ApurbaMohaptra,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,The National Bird at National institute of Technology National Institute of Technology Karnataka …,"['national', 'bird', 'national', 'institute', 'technology', 'national', 'institute', 'technology', 'karnataka']","[('national', 'JJ'), ('bird', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['bird', 'institute', 'technology', 'institute', 'technology', 'karnataka']",0,0,3.0
24,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research fellow posts 
https://engineerfeed.com/2019/09/60715/ pic.twitter.com/yb1aedtqum",Engineer Feed,1176071177191575552,2019-09-23 09:49:53,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Fellow posts pic.twitter.com/Yb1aEDTqUm,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'fellow', 'posts', 'pic', 'twitter', 'com', 'yb1aedtqum']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('fellow', 'JJ'), ('posts', 'NNS'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('yb1aedtqum', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'posts', 'twitter', 'com', 'yb1aedtqum']",0,0,3.0
25,"govt job: national institute of technology karnataka recruitment 2019 apply for junior research assistant posts 
https://engineerfeed.com/2019/09/58029/ pic.twitter.com/sytltrtsoq",Engineer Feed,1173594348388093952,2019-09-16 13:47:51,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Junior Research Assistant posts pic.twitter.com/SytLTRtsOQ,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'junior', 'research', 'assistant', 'posts', 'pic', 'twitter', 'com', 'sytltrtsoq']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('junior', 'JJ'), ('research', 'NN'), ('assistant', 'NN'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('sytltrtsoq', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'assistant', 'twitter', 'com', 'sytltrtsoq']",0,0,3.0
26,"just posted a photo @ national institute of technology, karnataka https://www.instagram.com/p/b2df6w-hrct/?igshid=b4ktu2prqmxz …",Suban01assam,1173473699711934464,2019-09-16 05:48:26,[],suban01assam,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Just posted a photo National Institute of Technology Karnataka …,"['posted', 'photo', 'national', 'institute', 'technology', 'karnataka']","[('posted', 'VBN'), ('photo', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
27,"just posted a photo @ national institute of technology, karnataka https://www.instagram.com/p/b2dfwhkhsbo/?igshid=1j3dbjz06cp8k …",Suban01assam,1173473347247792128,2019-09-16 05:47:02,[],suban01assam,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Just posted a photo National Institute of Technology Karnataka …,"['posted', 'photo', 'national', 'institute', 'technology', 'karnataka']","[('posted', 'VBN'), ('photo', 'JJ'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'NN')]","['institute', 'technology', 'karnataka']",0,0,3.0
28,"govt job: national institute of technology karnataka recruitment 2019 apply for research intern posts 
https://engineerfeed.com/2019/09/57688/ pic.twitter.com/felgguw3nn",Engineer Feed,1173259675728412672,2019-09-15 15:37:59,[],theengineerfeed,0.0,0.0,,0.0,Neutral,3.0,0.0,0.0,0.0,Govt Job National Institute of Technology Karnataka Recruitment 2019 apply for Research Intern posts pic.twitter.com/FElggUw3Nn,"['govt', 'job', 'national', 'institute', 'technology', 'karnataka', 'recruitment', '2019', 'apply', 'research', 'intern', 'posts', 'pic', 'twitter', 'com', 'felgguw3nn']","[('govt', 'NNS'), ('job', 'NN'), ('national', 'JJ'), ('institute', 'NN'), ('technology', 'NN'), ('karnataka', 'FW'), ('recruitment', 'NN'), ('2019', 'CD'), ('apply', 'NN'), ('research', 'NN'), ('intern', 'JJ'), ('posts', 'VBZ'), ('pic', 'VBP'), ('twitter', 'NN'), ('com', 'NN'), ('felgguw3nn', 'NN')]","['govt', 'job', 'institute', 'technology', 'recruitment', 'apply', 'research', 'twitter', 'com', 'felgguw3nn']",0,0,3.0
