,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
0,0,Anna-University-Tamil-Nadu-India,Will I get CEG College in Chennai for the cutoff of 185.5 marks in the CBSE?,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/Will-I-get-CEG-College-in-Chennai-for-the-cutoff-of-185-5-marks-in-the-CBSE,"Yes definitely u will get CEG, ACT, MIT, SSN. Cut off may drop 1–2 marks from LY or at same level of LY ",0.7076,Positive,4.4152000000000005,0.03225806451612903,1,5.0
1,1,Anna-University-Tamil-Nadu-India,Will I get CEG College in Chennai for the cutoff of 185.5 marks in the CBSE?,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/Will-I-get-CEG-College-in-Chennai-for-the-cutoff-of-185-5-marks-in-the-CBSE,With this cutoff. U won't get any top branches like cs it ece eee mech in ceg. But there is a chance that u might get those in MIT or SSN ,0.1965,Positive,3.393,0.03225806451612903,1,4.393
2,2,Anna-University-Tamil-Nadu-India,What is the expected cutoff for Anna university BC category 2020?,2,1,2/1,No,Followed,2020-08-02,https://www.quora.com/What-is-the-expected-cutoff-for-Anna-university-BC-category-2020,Same qus for me too ,0.0,Neutral,3.0,0.06451612903225806,1,
3,3,Anna-University-Tamil-Nadu-India,Apart from Anna University what are the top 10 autonomous colleges in Chennai to pursue CSE?,3,3,3/3,No,Followed,2020-08-02,https://www.quora.com/Apart-from-Anna-University-what-are-the-top-10-autonomous-colleges-in-Chennai-to-pursue-CSE,Top 10 Engineering Autonomous Colleges in Chennai to pursue CSE: 1.SSN College of Engineering  2. SRM Easwari Engineering College  3. Saveetha Engineering College  4. Rajalakshmi Engineering College  5.Sri Venkateswara College of Engineering  6. SRM Valliammai College of Engineering  7. Sri Sairam Engineering College  8. Velammal Engineering College  9.VelTech Multi Tech Dr.RangaRajan Dr.Sakunthala Engineering College  10. S.A Engineering College  ,0.0252875,Neutral,3.050575,0.0967741935483871,1,4.050575
4,4,Anna-University-Tamil-Nadu-India,Apart from Anna University what are the top 10 autonomous colleges in Chennai to pursue CSE?,3,3,3/3,No,Followed,2020-08-02,https://www.quora.com/Apart-from-Anna-University-what-are-the-top-10-autonomous-colleges-in-Chennai-to-pursue-CSE,"VIT vellore, SSN is currently the best autonomous colleges. I don't know much abt the other colleges ",0.31845,Positive,3.6369,0.0967741935483871,1,4.6369
5,5,Anna-University-Tamil-Nadu-India,Which type of exam will be conducted by Anna University during quarantine for the final years?,1,1,1/1,No,Followed,2020-07-30,https://www.quora.com/Which-type-of-exam-will-be-conducted-by-Anna-University-during-quarantine-for-the-final-years,"As per UGC guidelines. Lower sem no exams, but state government may do that for final semester also. ",-0.148,Negative,2.7039999999999997,0.03225806451612903,1,1.7039999999999997
6,6,Anna-University-Tamil-Nadu-India,"What does affiliated to some university mean? Like affiliated to Abdul Kalam University, Anna University, etc.? What is the difference?",2,1,2/1,No,Followed,2020-07-29,https://www.quora.com/What-does-affiliated-to-some-university-mean-Like-affiliated-to-Abdul-Kalam-University-Anna-University-etc-What-is-the-difference,"There are few universities & more colleges in every state of India. Therefore, the colleges are affiliated to one of the universities as per jurisdiction or the subject/faculty. The affiliated colleges are govern as per the rules & regulations of the affiliated university. College affiliated to AK University means that college run as per rules & regulations of AK univesity. Recently separate law universities are set up to affiliate all law colleges in the state. ",0.0,Neutral,3.0,0.06451612903225806,1,
7,7,Anna-University-Tamil-Nadu-India,"Which branch has better placement in College of Engineering Guindy, ECE, EEEOR, CSE, or IT?",1,1,1/1,No,Followed,2020-07-29,https://www.quora.com/Which-branch-has-better-placement-in-College-of-Engineering-Guindy-ECE-EEEOR-CSE-or-IT,CEG is a tier-3 Indian engineering college and most of the degree holders from such colleges become clerks in the services based companies. 3–4 LPA. This question is meaningless because of the image shown in this link. ,-0.1468,Negative,2.7064,0.03225806451612903,1,1.7064
8,8,Anna-University-Tamil-Nadu-India,My PCM cutoff is 190 in the CBSE. Can I get a chemical engineering seat in ACT campus Anna University through TNEA 2020?,1,1,1/1,No,Followed,2020-07-28,https://www.quora.com/My-PCM-cutoff-is-190-in-the-CBSE-Can-I-get-a-chemical-engineering-seat-in-ACT-campus-Anna-University-through-TNEA-2020,"First of all Congratulations on your marks and really a very good competitive cutoff . As far as the branch you are asking for is concerned you can easily get the seat considering the previous year (2019) and even before,cutoff which is most likely to remain the same this year as I read a news stating that the State results have again not been that good i.e Like They usually before last year they got scores like 99,100,etc and they would usually easily get a cutoff around 197 and above which made it really difficult for CBSE students to compete against them as far as TNEA is concerned. But this is not the case since last year the state board has been correcting very strictly and in particular from this year they had undergone a huge change in syllabus which is well in advantage of CBSE students who can now very well compete against them as the difference in marks mainly cutoff has reduced drastically. So with this cutoff you can definitely get a seat in ACT campus and you can hopefully apply for CEG campus courses like ECE,IT,EEE etc.if interested as if your community as well is in favour you would be easily getting a seat here as well and even community favourism is not needed for IT or EEE because this has been more or less the cutoff for these two branches last year. But while applying I would say choose your branch preference carefully If you want to study in a best campus with maximum advantages and you are not concerned about the branch much then you should first apply for CEG campus branches and then MIT and then ACT So prioritise according to what you prefer because once you are alloted one of your top preference you cannot get a lower preference even if you want it . (You can only apply for getting an even higher preference if possible ) So kindly take much care before you give your priority list while counselling. Cheers! All the best!!! Kindly upvote the answer if you find it useful!!! Thank you! ",0.74566,Positive,4.49132,0.03225806451612903,1,5.0
9,9,Anna-University-Tamil-Nadu-India,"Still the unemployed engineers rates are high in Tamilnadu (like 80% above) , but still total number of engineering colleges is nearly upto 700 colleges.. Do we really need that much of colleges in TN?",2,1,2/1,No,Followed,2020-07-30,https://www.quora.com/Still-the-unemployed-engineers-rates-are-high-in-Tamilnadu-like-80-above-but-still-total-number-of-engineering-colleges-is-nearly-upto-700-colleges-Do-we-really-need-that-much-of-colleges-in-TN,"Let us analyze the facts. 80% of Engineering graduates unemployed. The reasons behind this could be as follows:The quality of educationNon availability of employment opportunitiesSupply is more than demand.I feel the reason of unemployment of engineering graduates is they are not employable. They should be industry ready guys. The second reason is more supply than demand. At present, running Engineering colleges are business ventures. Once the owners find that the business is not profitable or loss making automatically they will close it. ",-0.055228571428571425,Negative,2.889542857142857,0.06451612903225806,1,1.8895428571428572
