,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score,old_score
0,0,International-Institute-of-Information-Technology-Bangalore-IIITB,"What should I choose, IIITB for an MTech or leave and wait for some good NITs? How is the environment in IIIT-B?",2,1,2/1,No,Followed,2020-07-30,https://www.quora.com/What-should-I-choose-IIITB-for-an-MTech-or-leave-and-wait-for-some-good-NITs-How-is-the-environment-in-IIIT-B,"Regarding the environment I won't comment on that as I don't have any expereince and would leave to anyone studying at IIITB. But during my admission days I had searched a lot about IIITs and me myself in one of the IIITs, I feel that IIITs are way lot better than the NITs. I am specifically talking about Mtech in VLSI. You can see the companies visiting the campus and their CTC. The syllabus also is much updated at IIITB and the faculites are having very good experience level in their subjects. Just one disadvantage it has over NIT is of fess and if this is a concern for you then the only NIT that somewhat matches IIITB (though it is not better than IIITB) is NITT.So, decide for yourself if you can make it for NITT. Rest NITs are not that good option for Mtech in VLSI. Hope it helps. ",0.090675,Positive,3.18135,0.009433962264150943,0,3.18135,3.18135
1,1,International-Institute-of-Information-Technology-Bangalore-IIITB,"Which option is better, M-Tech in CSIS at IIIT Hyderabad or M-Tech in CSE at IIIT Bangalore?",3,2,3/2,No,Followed,2020-07-30,https://www.quora.com/Which-option-is-better-M-Tech-in-CSIS-at-IIIT-Hyderabad-or-M-Tech-in-CSE-at-IIIT-Bangalore-1,Choose the nearer. There is NO demand of such degree holders in the industry. Most of such degree holders remain jobless. Or are fired after the admission session ends in Indian engineering colleges. This happens because Indian engineering curriculum is 40 years old.  I have solved the education and unemployment problem for Indian youth through my research on Indian education system. ,-0.19883333333333333,Negative,2.602333333333333,0.014150943396226415,0,2.602333333333333,2.602333333333333
2,2,International-Institute-of-Information-Technology-Bangalore-IIITB,"Which option is better, M-Tech in CSIS at IIIT Hyderabad or M-Tech in CSE at IIIT Bangalore?",3,2,3/2,No,Followed,2020-07-30,https://www.quora.com/Which-option-is-better-M-Tech-in-CSIS-at-IIIT-Hyderabad-or-M-Tech-in-CSE-at-IIIT-Bangalore-1,MTech CSIS has good computer flavor but focus on Information Security. IMO still is better as IIITH placemnts record is better. IIIT Bangalore is also a good college. ,0.5864666666666666,Positive,4.172933333333333,0.014150943396226415,0,4.172933333333333,4.172933333333333
3,3,International-Institute-of-Information-Technology-Bangalore-IIITB,"Hello Sir, I am an M.Tech from IIIT Bangalore in Computer Science and working in Bangalore for past 15 years. I want to do PhD while continuing my full time job in Bangalore. Can you please few good Institute, where I can approach?",4,1,4/1,Yes,Followed,2020-07-28,https://www.quora.com/Hello-Sir-I-am-an-M-Tech-from-IIIT-Bangalore-in-Computer-Science-and-working-in-Bangalore-for-past-15-years-I-want-to-do-PhD-while-continuing-my-full-time-job-in-Bangalore-Can-you-please-few-good-Institute-where-I,"I am sure both IIIT-B and IISc would have options to pursue a Ph. D in CS. The key thing to qualify for it would be your interest in research and your demonstrated aptitude for it. I am however wondering why it took you 15 years to realise that you want to do a Ph. D. Generally it happens as a continuation of M. Tech or immediately thereafter, not after such a long period. What you have been doing for the last 15 years would also have a bearing in your selection. This is not just a degree to flaunt. People who do it and the guides themselves are a driven lot, and seriously interested in a particular subject to do research in it. ",0.138025,Positive,3.27605,0.018867924528301886,1,4.27605,3.27605
4,4,International-Institute-of-Information-Technology-Bangalore-IIITB,"Which is better for a PGP in data sciences and business analytics, IIIT-B or Great Lakes?",3,2,3/2,No,Followed,2020-07-26,https://www.quora.com/Which-is-better-for-a-PGP-in-data-sciences-and-business-analytics-IIIT-B-or-Great-Lakes,Data science and business analytics are two different things. IITs and IIITs are well equipped to teach courses on technical aspects of data science. Business schools like great lakes are specialized in teaching applications of analytics in business. If you have plans to work for product based companies go for IIITs otherwise business schools fit the bill perfectly. ,0.452475,Positive,3.90495,0.014150943396226415,0,3.90495,3.90495
5,5,International-Institute-of-Information-Technology-Bangalore-IIITB,"Which is better for a PGP in data sciences and business analytics, IIIT-B or Great Lakes?",3,2,3/2,No,Followed,2020-07-26,https://www.quora.com/Which-is-better-for-a-PGP-in-data-sciences-and-business-analytics-IIIT-B-or-Great-Lakes,"Both are good, just as far as I know, Great lakes curriculum involves more managerial things and upgrad’s mostly technical. ",0.7906,Positive,4.5812,0.014150943396226415,0,4.5812,4.5812
6,6,International-Institute-of-Information-Technology-Bangalore-IIITB,How is a PG diploma in data science from UpGrad and IIIT Bangalore?,2,2,2/2,No,Followed,2020-07-20,https://www.quora.com/How-is-a-PG-diploma-in-data-science-from-UpGrad-and-IIIT-Bangalore,"It is good to see working professionals like you showing interest in upskilling themselves and preparing to be ready for the future. .Many working professionals who register for our programs are keen for a transition in their career and we at upGrad totally understand that this is very crucial and is the need of the hour. Hence, upGrad has this vital services for Career improvement for each of its learners wherein we train them in many possible ways so that they can very well transition into a better role with a higher pay upGrad arranges hiring drives for the learners from all fields, includin Continue ReadingIt is good to see working professionals like you showing interest in upskilling themselves and preparing to be ready for the future. .Many working professionals who register for our programs are keen for a transition in their career and we at upGrad totally understand that this is very crucial and is the need of the hour. Hence, upGrad has this vital services for Career improvement for each of its learners wherein we train them in many possible ways so that they can very well transition into a better role with a higher pay upGrad arranges hiring drives for the learners from all fields, including the Data Vertical. To answer the question better, I’ll throw some highlights on our track record so far in terms of placements and tell you how our Career Services offering equips the learners to get a better placement. So far, upGrad has certified 12,600 + learners in the area of Data specifically in the program of data Science from IIIT-B, over five hundred learners have had a good career transition with the highest salary of seventy-two LPA and an average salary hike of fifty eight percent. Our students are working with top organizations like Tata Consultancy, Accenture, Tata Motors KPMG, Huron Consulting Group, Wipro, Time Inc., and many more. When you are about to finish the program our Career Services team will get involved and actively provide you with guidance and guide you for a successful career transition. One such assistance provided by our Career Services team is the recruitment drive for our learners. Let’s have a look at hiring partners.  Once into the program, you get a chance to interview for these brilliant three hundred plus hiring companies who have partnered with upGrad and be the first one to know about any opportunities such as a vacancy and get an edge in the application process. After program completion, the doors to job opportunities like Data Analyst, Data Scientist, Data Engineer, Product Analyst, Machine Learning Engineer, Decision Scientist, etc. will be available to you based on your interest. Besides this, with upGrad, you also get the advantage of networking through our exclusive BaseCamps and live sessions which include action-packed, knowledgeable and workshops to enhance your career and live sessions by industry professionals wherein you get to participate in group activities with other learners with a profile similar like yours and also with alumni of this program By providing placement assistance in terms of a personalized career coach, career counseling, resume feedback, mock interviews, etc. through our Career Services team, we at upGrad, aim to help our learners to be ready for careers of tomorrow and do our best for a successful career transition. Here’s one of our learners Atul who had a 100% hike after enrolling in the program.  You can visit our website for more information about the program - [1] Footnotes[1] Data Science Certification - Post Graduate Diploma in Data Science | upGrad & IIITB",0.49455555555555564,Positive,3.9891111111111113,0.009433962264150943,0,3.9891111111111113,3.9891111111111113
7,7,International-Institute-of-Information-Technology-Bangalore-IIITB,How is a PG diploma in data science from UpGrad and IIIT Bangalore?,2,2,2/2,No,Followed,2020-07-20,https://www.quora.com/How-is-a-PG-diploma-in-data-science-from-UpGrad-and-IIIT-Bangalore,"“You don't pay for content ,you pay for organised content” It's good in the way that the content is organised and taught by good set of faculty and industry leaders . The assignments and case studies make sure that you have actually understood the content and are able to apply it . The timelines keep you on your toes but then it's important as they have to cover lot of stuff in given time . Important things which Upgrad has bought are stuff like regular sessions from industry mentors , dedicated job portals , mentor support and an industry mentor who will help you position yourself in the data sci Continue Reading“You don't pay for content ,you pay for organised content” It's good in the way that the content is organised and taught by good set of faculty and industry leaders . The assignments and case studies make sure that you have actually understood the content and are able to apply it . The timelines keep you on your toes but then it's important as they have to cover lot of stuff in given time . Important things which Upgrad has bought are stuff like regular sessions from industry mentors , dedicated job portals , mentor support and an industry mentor who will help you position yourself in the data science industry and give you a perspective on how to apporach interviews and this is a 1–1 session . Most important USP of this entire program is that you have an option of upgrading and doing a Master's degree at almost 1/10th the cost of a master's . If you are planning to opt for the course you can save 10–15,000 using my promo code : SURA280 All the best for your journey in data science . ",0.5381333333333332,Positive,4.076266666666666,0.009433962264150943,0,4.076266666666666,4.076266666666666
8,8,International-Institute-of-Information-Technology-Bangalore-IIITB,What is the placement condition of Mtech students in DTU in recent covid situation?,1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/What-is-the-placement-condition-of-Mtech-students-in-DTU-in-recent-covid-situation,"Few are unplaced but yeah companies are coming regularly. Below are few companies of mtech ( cse swe and isy) FreeCharge 14 lakh Paytm 8 lakh Delivery 3–6 lakh Paxcom india 6 lakh Marvel 8.5 lakh Macquarie finance internship 50k per month Enroute 3–5 lakh Atlassian 50 lakh[ we were expecting this in beginning of placement but it came late] Qualcomm (2nd visit) allowed all unplaced + those who's placement got revoked by other companies due to covid- 29 lakh Etc etc etc……. So, don't think about companies in DTU those who are unplaced or offer revoked college is trying their best. Those who were deserving or did hard work + luck with them have already placed with very good offers. Average till now for mtech cse+swe+it would be 14+ so don't worry. Fact is also few are still unplaced because either they don't have good project or communication skill or coding skill or bad luck. Keep coding and keep growing. Being a Tier 1 college DTU attracts more than 350 companies each year so don't even think for placement. Just give your best. ",0.3509222222222222,Positive,3.7018444444444443,0.0047169811320754715,0,3.7018444444444443,3.7018444444444443
9,9,International-Institute-of-Information-Technology-Bangalore-IIITB,How is M.Tech in computer science at IIIT-Bangalore?,32,6,32/6,Yes,Followed,2020-04-17,https://www.quora.com/How-is-M-Tech-in-computer-science-at-IIIT-Bangalore,"Here is my experience at IIITB. I had completed my B.Tech in ECE from one of topmost NITs. I had been working in a software company prior to joining IIITB. I was deeply interested and curious about programming and software development, and thus was planning for a M.Tech in CS related fields. Why I chose IIITB?  This might sound really really funny. I had a okayish Gate Score but in ECE stream. I was planning for a switch to any CS or IT related course. I searched the whole internet for such courses that accepts Gate ECE scores. These were very rare and few IITs offer such interdisciplinary cour Continue ReadingHere is my experience at IIITB. I had completed my B.Tech in ECE from one of topmost NITs. I had been working in a software company prior to joining IIITB. I was deeply interested and curious about programming and software development, and thus was planning for a M.Tech in CS related fields. Why I chose IIITB?  This might sound really really funny. I had a okayish Gate Score but in ECE stream. I was planning for a switch to any CS or IT related course. I searched the whole internet for such courses that accepts Gate ECE scores. These were very rare and few IITs offer such interdisciplinary courses and its in high demand too. One fortunate day, when I was searching for courses in IIT, Bombay(IITB) I made a typo on Google. I searched for 'IIITB M.Tech courses' and a typo that totally changed my life altogether :D. IIITB, a college I have never heard before.! I jumped onto the college website and was totally amazed seeing the faculty profiles, placement statistics and something that I really loved was they consider ECE GATE scores too. That too I could start fresh and get a M.Tech in IT straight as normal B.Tech CS graduates do. Huge relief!! I searched all over quora to see testimonies of students and I would have come across this very same question 3 years back! I even contacted several students who were doing their courses then, bugged them enough over Facebook/LinkedIn and I decided to give this college a try! Things that weren't impressive - small campus, budding college, ranked way below top NITs, not popular, huge fees!!! Ignoring all those I applied there for M.Tech in IT and kept it as my backup plan.! Unfortunately, I screwed up all my interviews in IITD, IITM, and IISc. I was in immense stress as I was in my notice period and company wasn't treating me well. I was running short on leaves and slipped into the loss of pay zone. I didn't attend interviews of IITB, IIT-KGP and IITK because these were mainly ECE courses and was out of my interest and also I was totally broke by then! Finally i was falling back to my backup plan. And at the very end I chose IIITB Mtech IT over IITG M.Tech VLSI. A decision I was criticised for a lot then! My time in IIITB : I kept my expectations minimal because I didn't want to get disappointed if the college didn't meet those and this time I was determined and focused to get the best out of me. But from day one the college kept amazing me!! There are several things I liked about this place: The college has a very diverse huge crowd.. We have people coming in from Kashmir down to Kerala (thats me! ). People who got fed up with their early corporate life and joining here as a last resort (thats me again!) . People coming in just after their B.Techs. People coming in with focus on research and a PhD later. All coming in with lots of hope and determination! For this same reasons, the crowd here is very much focused towards acads. Compared to the heavy competitive environment in my B.Tech, this place had down to earth people ready to help each other. Since I was learning CS concepts from scratch, I have knocked many doors for help and suggestions and none of them have ever turned their back at me.!   The seniors out there were really supportive and always ready to help you out. This is something you will see throughout the course. Alumni network is one of the strongest you would see in IIITB. I had literally bugged many of them over Facebook asking for their reviews on college before I joined. They stayed next to us from the very first day of our preparatory semesters to the very last day of our placements!!! Hats off Guys!! The faculties..! My prior experiences with faculties were terrible during my B.Tech. Most of them were scary experiences which gave me an impression that its always a bad idea to approach them! Ive seen faculties taking pride in giving most number 'F' grades in their courses, some making scary atmospheres in class, some engaging in frequent disagreements with the other faculties in not so cool ways, even there are ones who are constantly interested in torturing students rather than doing his profession.( There are good ones too!). Well IIITB faculties proved me wrong. It totally changed my perception of what a teacher/professor is.! The faculties here pretty cool and really put in lots of effort for the upbringing of the students and sets up best atmosphere for your growth. The faculties are one among the most approachable people I've seen here. Compared to my experience in NITC, the faculties here were able to put my brains to good use. Other good things to point out: Hostel rooms are pretty good, campus is neat and tidy, placement cell is super awesome, excellent coding culture, Bangalore is an amazing location for techies etc. There are some bad things too.. But I would probably consider to ignore these.. The college is in its budding stage, so its prone to make mistakes. Several occasions I did feel I had paid more for the facilities I received and also the administration looked student unfriendly several times. During my time I had trouble with the mess food! Its pure vegetarian mess and people like me who are used to daily non-veg diet had trouble coping up. There is no option to quit hostel mess too. No wonder why foodpanda made a huge profit out of me during my 2 years here! We had a sudden hike in our fees during the middle of the course which totally disturbed me for a while. During the final semester, you are forced to stay in the hostel if you are interning anywhere in Bangalore (a city where distance is measured in traffic units!!). I interned 25km away from my college..which would waste around 4-5 hours each day in Bangalore traffic. Another thing I hated big time was the insane curfew timings, even boys aren't allowed to go out of campus after 10 pm.! Happiest part is at the end of course completion almost everyone lands with a decent paycheck. Most of them would have got their internships converted. I believe the placement committee is capable enough to get every student a job given the students have the right attitude!. A remarkable achievement worth mentioning is that a team from Integrated Mtech batch has appeared for the ACM ICPC World Finals..!! And yes this college is going places..!! PS : There are couple of changes in early 2018. The ESD course is renamed and restructured. Also the Gate Paper criteria for IT admissions have changed. (**I am feeling lucky**). Please do go through the college website thoroughly as the info shared above might be outdated. Please check the comments section for more updates from students who have completed/pursuing their courses in IIITB. ",0.08118965517241379,Positive,3.1623793103448277,0.1509433962264151,1,4.162379310344828,3.1623793103448277
